time,actual_x,actual_y,plan_x,plan_y,error_m
2026-04-22 17:53:07.529,18.184,19.409,18.184,19.409,0.0
2026-04-22 17:53:08.620,18.049,19.469,18.184,19.409,0.148
2026-04-22 17:53:09.724,17.811,19.779,18.184,19.409,0.525
2026-04-22 17:53:10.816,17.941,20.04,18.324,19.51,0.654
2026-04-22 17:53:11.902,18.22,20.163,18.566,19.685,0.59
2026-04-22 17:53:12.996,18.592,20.229,18.841,19.884,0.426
2026-04-22 17:53:14.093,19.104,20.282,19.203,20.145,0.169
2026-04-22 17:53:15.184,19.521,20.458,19.56,20.403,0.067
2026-04-22 17:53:16.283,19.695,20.881,19.444,20.662,0.333
2026-04-22 17:53:17.372,19.599,21.15,19.27,20.862,0.437
2026-04-22 17:53:18.468,19.372,21.348,19.073,21.086,0.397
2026-04-22 17:53:19.560,18.888,21.604,18.736,21.471,0.202
2026-04-22 17:53:20.560,18.477,21.774,18.474,21.771,0.004
2026-04-22 17:53:21.654,18.221,22.058,18.222,22.059,0.002
2026-04-22 17:53:22.748,17.736,22.718,17.684,22.673,0.068
2026-04-22 17:53:23.843,17.437,22.984,17.423,22.972,0.018
2026-04-22 17:53:24.941,17.233,23.241,17.207,23.219,0.034
2026-04-22 17:53:26.035,17.023,23.458,17.009,23.445,0.019
2026-04-22 17:53:27.124,16.818,23.678,16.811,23.672,0.01
2026-04-22 17:53:28.214,16.52,24.008,16.518,24.006,0.003
2026-04-22 17:53:29.312,16.316,24.229,16.32,24.233,0.005
2026-04-22 17:53:30.410,16.192,24.485,16.183,24.496,0.014
2026-04-22 17:53:31.509,16.268,24.758,16.363,24.64,0.151
2026-04-22 17:53:32.590,16.49,24.972,16.602,24.831,0.18
2026-04-22 17:53:33.685,17.151,25.394,17.211,25.319,0.097
2026-04-22 17:53:34.783,17.356,25.525,17.4,25.47,0.071
2026-04-22 17:53:35.881,17.787,25.81,17.802,25.791,0.024

Avg error: 0.172m | Max error: 0.654m
