time,actual_x,actual_y,plan_x,plan_y,error_m
2026-03-12 17:01:23.884,17.636,1.772,17.636,1.772,0.001
2026-03-12 17:01:24.908,17.636,1.772,17.636,1.772,0.001
2026-03-12 17:01:25.909,17.643,2.179,17.615,2.177,0.028
2026-03-12 17:01:27.008,17.637,2.473,17.6,2.471,0.038
2026-03-12 17:01:28.109,17.659,2.823,17.581,2.819,0.078
2026-03-12 17:01:29.208,17.582,3.372,17.553,3.37,0.029
2026-03-12 17:01:30.209,17.572,3.546,17.544,3.545,0.028
2026-03-12 17:01:31.308,17.564,4.045,17.518,4.042,0.046
2026-03-12 17:01:32.308,17.538,4.358,17.501,4.356,0.037
2026-03-12 17:01:33.408,17.502,4.663,17.486,4.662,0.017
2026-03-12 17:01:34.508,17.477,4.962,17.47,4.961,0.007
2026-03-12 17:01:35.608,17.461,5.272,17.454,5.272,0.008
2026-03-12 17:01:36.708,17.397,5.785,17.427,5.786,0.03
2026-03-12 17:01:37.708,17.377,6.131,17.409,6.133,0.033
2026-03-12 17:01:38.808,17.377,6.131,17.409,6.133,0.033
2026-03-12 17:01:39.908,17.357,6.661,17.381,6.663,0.024
2026-03-12 17:01:40.908,17.344,7.011,17.363,7.012,0.02
2026-03-12 17:01:42.008,17.343,7.351,17.346,7.351,0.003
2026-03-12 17:01:43.108,17.331,7.684,17.328,7.684,0.003
2026-03-12 17:01:44.108,17.324,8.023,17.311,8.022,0.013
2026-03-12 17:01:45.208,17.305,8.384,17.292,8.383,0.014
2026-03-12 17:01:46.308,17.284,8.713,17.275,8.713,0.009
2026-03-12 17:01:47.409,17.265,9.042,17.258,9.042,0.007
2026-03-12 17:01:48.508,17.255,9.193,17.25,9.193,0.005
2026-03-12 17:01:49.508,17.236,9.553,17.231,9.553,0.005
2026-03-12 17:01:50.508,17.22,9.882,17.214,9.882,0.006
2026-03-12 17:01:51.509,17.197,10.241,17.195,10.241,0.002
2026-03-12 17:01:52.608,17.191,10.422,17.186,10.421,0.005
2026-03-12 17:01:53.633,17.175,10.752,17.169,10.751,0.006
2026-03-12 17:01:54.709,17.146,11.261,17.142,11.26,0.004
2026-03-12 17:01:55.712,17.13,11.59,17.125,11.59,0.005
2026-03-12 17:01:56.808,17.121,11.768,17.116,11.768,0.005
2026-03-12 17:01:57.909,17.102,12.096,17.099,12.096,0.004
2026-03-12 17:01:59.008,17.085,12.457,17.08,12.456,0.005
2026-03-12 17:02:00.008,17.076,12.637,17.07,12.637,0.006
2026-03-12 17:02:01.009,17.062,12.995,17.052,12.995,0.01
2026-03-12 17:02:02.108,17.069,13.383,17.032,13.382,0.038
2026-03-12 17:02:03.209,17.248,13.695,17.301,13.554,0.151
2026-03-12 17:02:04.209,17.478,13.887,17.565,13.654,0.249
2026-03-12 17:02:05.309,17.809,14.027,17.902,13.78,0.264
2026-03-12 17:02:06.408,18.159,14.117,18.238,13.906,0.226
2026-03-12 17:02:07.408,18.471,14.172,18.53,14.015,0.167
2026-03-12 17:02:08.409,18.646,14.201,18.693,14.076,0.133
2026-03-12 17:02:09.508,18.997,14.273,19.024,14.2,0.077
2026-03-12 17:02:10.508,19.351,14.35,19.359,14.326,0.025
2026-03-12 17:02:11.508,19.524,14.393,19.526,14.389,0.005
2026-03-12 17:02:12.512,19.903,14.543,19.828,14.502,0.085
2026-03-12 17:02:13.608,20.039,14.692,19.825,14.689,0.214
2026-03-12 17:02:14.608,20.157,14.968,19.821,14.962,0.337
2026-03-12 17:02:15.608,20.182,15.297,19.815,15.291,0.366
2026-03-12 17:02:16.608,20.136,15.655,19.809,15.65,0.327
2026-03-12 17:02:17.609,20.097,15.833,19.806,15.828,0.291
2026-03-12 17:02:18.708,20.013,16.163,19.801,16.16,0.212
2026-03-12 17:02:19.808,19.934,16.515,19.795,16.512,0.138
2026-03-12 17:02:20.810,19.868,16.87,19.79,16.868,0.079
2026-03-12 17:02:21.908,19.824,17.228,19.784,17.227,0.04
2026-03-12 17:02:23.009,19.795,17.584,19.778,17.583,0.017
2026-03-12 17:02:24.109,19.795,17.584,19.778,17.583,0.017
2026-03-12 17:02:25.208,19.777,17.944,19.772,17.944,0.005
2026-03-12 17:02:26.208,19.768,18.485,19.763,18.485,0.005
2026-03-12 17:02:27.308,19.765,18.786,19.758,18.786,0.006
2026-03-12 17:02:28.308,19.761,19.114,19.753,19.114,0.008
2026-03-12 17:02:29.309,19.754,19.474,19.747,19.474,0.007
2026-03-12 17:02:30.409,19.75,19.805,19.742,19.805,0.008
2026-03-12 17:02:31.508,19.747,19.984,19.739,19.984,0.008
2026-03-12 17:02:32.508,19.741,20.319,19.733,20.319,0.008
2026-03-12 17:02:33.609,19.714,20.854,19.728,20.652,0.202
2026-03-12 17:02:34.708,19.648,21.36,19.618,21.356,0.03
2026-03-12 17:02:35.708,19.611,21.693,19.567,21.686,0.045
2026-03-12 17:02:36.710,19.582,21.866,19.54,21.859,0.042
2026-03-12 17:02:37.809,19.519,22.217,19.485,22.212,0.035
2026-03-12 17:02:38.908,19.487,22.396,19.457,22.391,0.03
2026-03-12 17:02:40.008,19.397,22.904,19.378,22.901,0.02
2026-03-12 17:02:41.009,19.366,23.082,19.35,23.079,0.017
2026-03-12 17:02:42.108,19.312,23.441,19.294,23.438,0.018
2026-03-12 17:02:43.208,19.248,23.791,19.239,23.79,0.009
2026-03-12 17:02:44.209,19.194,24.118,19.188,24.117,0.006
2026-03-12 17:02:45.309,19.135,24.447,19.137,24.447,0.001
2026-03-12 17:02:46.409,19.091,24.621,19.079,24.616,0.013
2026-03-12 17:02:47.508,18.92,25.112,18.875,25.093,0.049
2026-03-12 17:02:48.508,18.851,25.284,18.802,25.263,0.054
2026-03-12 17:02:49.609,18.638,25.768,18.594,25.749,0.048

Avg error: 0.057m | Max error: 0.366m
